Transect	Local	Lat	Long	T	P	D.mean	S.ants	prop.res	prop.crassus
Bra01	Bra	-15.734561	-47.93383	213	1535	0.535	6.572096155	0.231404959	0.231404959
Bra02	Bra	-15.729393	-47.941637	214	1521	0.565	8.76415075	0.197183099	0.11971831
Bra03	Bra	-15.728287	-47.952353	212	1509	0.84	10.60319957	0.26984127	0.047619048
Bra04	Bra	-15.73007	-47.961682	212	1505	0.65	8.057732177	0.439189189	0.243243243
Bra05	Bra	-15.73216	-47.970349	212	1502	0.3125	8.200673765	0.272727273	0.103896104
Can01	Can	-20.141138	-46.902167	181	1615	0.55	5.79609304	0.140495868	0.099173554
Can02	Can	-20.143341	-46.892838	182	1604	0.605	9.326836413	0.154929577	0.11971831
Can03	Can	-20.142616	-46.882485	180	1615	0.3675	8.195511011	0.093023256	0.11627907
Can04	Can	-20.146411	-46.850234	179	1619	0.3175	6.535366017	0.032967033	0.263736264
Can05	Can	-20.148093	-46.840434	178	1626	0.175	4.574158082	0.08	0.18
Cip01	Cip	-19.357882	-43.607464	208	1496	0.4025	10.22488724	0.278350515	0.237113402
Cip02	Cip	-19.356325	-43.618707	207	1492	0.427272727	7.282380177	0.330578512	0.371900826
Cip03	Cip	-19.35023	-43.614029	207	1495	0.375	10.68334456	0.12244898	0.163265306
Cip04	Cip	-19.367388	-43.603231	208	1494	0.402272727	10.30772769	0.418367347	0.255102041
Cip05	Cip	-19.375617	-43.598862	207	1494	0.335	8.043559387	0.406976744	0.174418605
Ema01	Ema	-18.291121	-52.892486	225	1635	0.4025	9.629090163	0.22	0.14
Ema02	Ema	-18.290044	-52.882404	225	1634	0.3375	7.761373909	0.252747253	0.120879121
Ema03	Ema	-18.288919	-52.872782	226	1632	0.325	9.092490905	0.32	0.08
Ema04	Ema	-18.282807	-52.865079	226	1631	0.3	7.407884118	0.426829268	0.06097561
Ema05	Ema	-18.276011	-52.858707	226	1631	0.325	9.936362266	0.225	0.05
Iti01	Iti	-22.21469521	-47.9235854	197	1373	0.6775	6.81594878	0.26744186	0.029069767
Iti02	Iti	-22.20874929	-47.91618757	197	1372	0.3425	5.850187644	0.486842105	0.157894737
Iti03	Iti	-22.20250716	-47.90850376	197	1374	0.272222222	10.31758334	0.216666667	0.016666667
Iti04	Iti	-22.20728803	-47.90050144	198	1371	0.2725	9.091087455	0.475409836	0.295081967
Iti05	Iti	-22.21746304	-47.91135918	197	1372	0.3575	8.520295614	0.659090909	0.193181818
Ser04	Ser	-15.83445783	-52.23912942	235	1656	0.193181818	5.873517787	0.1	0.266666667
Ser05	Ser	-15.82863744	-52.23044369	232	1667	0.160416667	5.5	0.055555556	0.277777778
Ser08	Ser	-15.84264023	-52.23237566	231	1670	0.205	8.08624812	0.25	0.15625
Ser09	Ser	-15.83734297	-52.22480077	230	1675	0.3	9.378437069	0.306122449	0.12244898
Ser10	Ser	-15.83169228	-52.21676762	230	1675	0.2625	8.128571429	0.15942029	0.115942029
Vea01	Vea	-14.140215	-47.766532	222	1801	0.325	8.505613289	0.434343434	0.212121212
Vea03	Vea	-14.172966	-47.825525	226	1774	0.39	9	0.131313131	0.02020202
Vea04	Vea	-14.164054	-47.824255	227	1770	0.5375	8.596940414	0.21641791	0.134328358
Vea05	Vea	-14.149897	-47.781492	219	1818	0.2725	7.031944967	0.366666667	0.133333333
